question,ground_truth,context
"What is the maximum imprisonment term for an offence under Section 138 of the Negotiable Instruments Act?","The person shall be punished with imprisonment for a term which may be extended to two years, or with fine which may extend to twice the amount of the cheque, or with both.","...such person shall be deemed to have committed an offence and shall, without prejudice to any other provisions of this Act, be punished with imprisonment for a term which may be extended to two years, or with fine which may extend to twice the amount of the cheque, or with both."
"Within what period must a cheque be presented to the bank for Section 138 to apply?","The cheque must be presented to the bank within a period of six months from the date on which it is drawn or within the period of its validity, whichever is earlier.","the cheque has been presented to the bank within a period of six months from the date on which it is drawn or within the period of its validity, whichever is earlier"
"If a payee receives information from the bank about a returned cheque but does not send a written demand notice to the drawer, can the drawer be prosecuted under Section 138?","No. Section 138 explicitly requires that the payee makes a demand for payment by giving a notice in writing to the drawer within thirty days of receiving information from the bank about the returned cheque. Without this notice, the proviso conditions are not met and the section does not apply.","the payee or the holder in due course of the cheque, as the case may be, makes a demand for the payment of the said amount of money by giving a notice in writing, to the drawer of the cheque, within thirty days of the receipt of information by him from the bank regarding the return of the cheque as unpaid"
"Does Section 138 of the Negotiable Instruments Act apply when a cheque is dishonoured due to stop payment instructions issued by the drawer?","Yes. Section 138 can be attracted when a cheque is dishonoured on account of stop payment instructions sent by the accused to his bank in respect of a post-dated cheque, irrespective of insufficiency of funds in the account.","Section 138 of the Act can indeed be attracted when a cheque is dishonoured on account of 'stop payment' instructions sent by the accused to his bank in respect of a post-dated cheque, irrespective of insufficiency of funds in the account."
"Why should a drawer of a post-dated cheque not be permitted to countermand its payment to avoid liability under Section 138?","Because allowing countermand would render Section 138 a dead letter and permit persons to take advantage of their own wrong. A post-dated cheque is an accommodation given to the drawer by the creditor, and the drawer should not be allowed to abuse that accommodation. Section 139 also raises a presumption that the cheque was issued in discharge of a debt, which the drawer must rebut with evidence.","A post-dated cheque will lose its credibility and acceptability if its payment can be stopped routinely... by countermanding payment of a post-dated cheque, a party should not be allowed to get away from the penal provision of Section 138. A contrary view would render S. 138 a dead letter and will provide a handle to persons trying to avoid payment under legal obligations undertaken by them through their own acts which in other words can be said to be taking advantage of one's own wrong."
"Under Section 139 of the Negotiable Instruments Act, a presumption arises in favour of the cheque holder. What standard of proof must the accused meet to rebut this presumption, and must the accused personally testify to do so?","Under Section 139 of the Negotiable Instruments Act, a presumption arises in favour of the cheque holder. What standard of proof must the accused meet to rebut this presumption, and must the accused personally testify to do so?","It shall be presumed, unless the contrary is proved, that the holder of a cheque received the cheque of the nature referred to in section 138 for the discharge, in whole or in part, of any debt or other liability. + An accused for discharging the burden of proof placed upon him under a statute need not examine himself. He may discharge his burden on the basis of the materials already brought on record... whereas prosecution must prove the guilt of an accused beyond all reasonable doubt, the standard of proof so as to prove a defence on the part of the accused is 'preponderance of probabilities'."
"According to Krishna Janardhan Bhat v. Dattatraya G. Hegde as cited in Rangappa vs Sri Mohan, does Section 139 raise a presumption about the existence of a legally enforceable debt?","No. Section 139 only raises a presumption that the cheque was issued for the discharge of any debt or other liability. The existence of a legally recoverable debt itself is not a matter of presumption under Section 139.","Section 139 of the Act merely raises a presumption in regard to the second aspect of the matter. Existence of legally recoverable debt is not a matter of presumption under Section 139 of the Act. It merely raises a presumption in favour of a holder of the cheque that the same has been issued for discharge of any debt or other liability."
"What does Section 139 of the Negotiable Instruments Act presume about a cheque holder?","It shall be presumed, unless the contrary is proved, that the holder of a cheque received the cheque for the discharge, in whole or in part, of any debt or other liability.","It shall be presumed, unless the contrary is proved, that the holder of a cheque received the cheque of the nature referred to in section 138 for the discharge, in whole or in part, of any debt or other liability."
"Under Section 141 of the Negotiable Instruments Act, who is deemed guilty when a company commits an offence under Section 138?","Every person who, at the time the offence was committed, was in charge of, and was responsible to the company for the conduct of the business of the company, as well as the company itself, shall be deemed to be guilty of the offence and shall be liable to be proceeded against and punished accordingly.","If the person committing an offence under section 138 is a company, every person who, at the time the offence was committed, was in charge of, and was responsible to the company for the conduct of the business of the company, as well as the company, shall be deemed to be guilty of the offence and shall be liable to be proceeded against and punished accordingly."
"Under Section 141, what must a person prove to escape liability for a company's offence under Section 138?","The person must prove either that the offence was committed without his knowledge, or that he had exercised all due diligence to prevent the commission of such offence.","nothing contained in this sub-section shall render any person liable to punishment if he proves that the offence was committed without his knowledge, or that he had exercised all due diligence to prevent the commission of such offence."
"A government-nominated director of a company is in charge of its business at the time a cheque bounces. Can they be prosecuted under Section 141?","No. Section 141 explicitly provides that a person nominated as a Director of a company by virtue of holding any office or employment in the Central Government, State Government, or a financial corporation owned or controlled by either government shall not be liable for prosecution under that chapter.","where a person is nominated as a Director of a company by virtue of his holding any office or employment in the Central Government or State Government or a financial corporation owned or controlled by the Central Government or the State Government, as the case may be, he shall not be liable for prosecution under this Chapter."
"Under Section 142(2) of the Negotiable Instruments Act, which court has territorial jurisdiction to try an offence under Section 138 when the cheque is delivered for collection through an account?","The court within whose local jurisdiction the branch of the bank where the payee or holder in due course maintains the account is situated shall have jurisdiction.","The offence under section 138 shall be inquired into and tried only by a court within whose local jurisdiction — if the cheque is delivered for collection through an account, the branch of the bank where the payee or holder in due course, as the case may be, maintains the account, is situated."
